name,studio,theme,tags,source,rating,year,demographic,status,eps,eps_avg_duration_in_min,rated_by
Wagamama☆Fairy Mirumo de Pon!,Studio Hibari,School,"Adventure, Comedy, Drama, Fantasy, Romance",Manga,7.29,2002,Shoujo,Finished,172.0,21.0,18000
Aikatsu Stars!,Bandai Namco Pictures,"Idols (Female), Music, School","Slice, of, Life",Original,7.56,2016,Shoujo,Finished,100.0,24.0,18000
Chibi☆Devi!,SynergySP,Childcare,"Fantasy, Supernatural",Manga,6.83,2011,Shoujo,Finished,75.0,5.0,17000
Futari wa Precure: Max Heart,Toei Animation,Mahou Shoujo,"Action, Comedy, Fantasy",Original,6.97,2005,Shoujo,Finished,47.0,24.0,17000
12-sai.: Chicchana Mune no Tokimeki 2nd Season,OLM,School,Romance,Manga,6.6,2016,Shoujo,Finished,12.0,24.0,16000
Akuyaku Reijou nanode Last Boss wo Kattemimashita,Maho Film,Shoujo,"Comedy, Fantasy, Romance",Light novel,7.35,2022,Shoujo,Not Aired,13.0,24.0,16000
Go! Princess Precure,Toei Animation,"Mahou Shoujo, School","Action, Comedy, Fantasy, Slice, of, Life",Original,7.76,2015,Shoujo,Finished,50.0,24.0,16000
Yes! Precure 5,Toei Animation,"Mahou Shoujo, School","Action, Fantasy",Original,7.18,2007,Shoujo,Finished,49.0,24.0,15000
Shounen Hollywood: Holly Stage for 49,Zexcs,"Idols (Male), Music, Performing Arts","Slice, of, Life",Novel,6.07,2014,Shoujo,Finished,13.0,24.0,15000
Fresh Precure!,Toei Animation,Mahou Shoujo,"Action, Comedy, Fantasy, Slice, of, Life",Original,7.37,2009,Shoujo,Finished,50.0,25.0,15000
Watashi no Ashinaga Ojisan,Nippon Animation,"Historical, School","Comedy, Romance, Slice, of, Life",Novel,7.72,1990,Shoujo,Finished,40.0,23.0,15000
Ojamajo Doremi Dokkaan!,Toei Animation,Shoujo,Comedy,Original,7.67,2002,Shoujo,Finished,51.0,24.0,15000
Suite Precure♪,Toei Animation,Mahou Shoujo,"Action, Fantasy",Original,7.3,2011,Shoujo,Finished,48.0,24.0,14000
